,buy/sell,time,price,stop loss,ETH_balance,USDT_balance
0,buy,2018-02-01 15:59:59.999,1136.0,False,0.0880281690140845,0
1,sell,2018-02-01 16:29:59.999,1124.0,True,0.0,98.94366197183098
2,buy,2018-02-02 16:59:59.999,926.85,True,0.10675261581899011,0
3,sell,2018-02-02 19:59:59.999,905.0,True,0.0,96.61111731618605
4,buy,2018-02-03 01:59:59.999,922.3,True,0.10475020851803758,0
5,sell,2018-02-03 03:29:59.999,903.0,True,0.0,94.58943829178794
6,buy,2018-02-05 09:29:59.999,824.23,True,0.11476097483928993,0
7,sell,2018-02-05 10:59:59.999,800.0,True,0.0,91.80877987143194
8,buy,2018-02-06 02:59:59.999,703.29,True,0.13054185310672972,0
9,sell,2018-02-06 03:29:59.999,665.73,True,0.0,86.90562786874318
10,buy,2018-02-06 13:59:59.999,633.96,True,0.13708377163976146,0
11,sell,2018-02-07 04:29:59.999,762.0,False,0.0,104.45783398949823
12,buy,2018-02-07 21:29:59.999,823.82,False,0.1267969143617516,0
13,sell,2018-02-07 22:29:59.999,804.77,True,0.0,102.04235277090685
14,buy,2018-02-10 04:28:14.799,885.33,True,0.11525911555115814,0
15,sell,2018-02-10 10:58:14.799,860.42,True,0.0,99.17124820252748
16,buy,2018-02-11 18:59:59.999,837.91,True,0.11835548949472793,0
17,sell,2018-02-11 19:29:59.999,827.7,True,0.0,97.96283865478631
18,buy,2018-02-13 01:59:59.999,866.66,True,0.11303491410101575,0
19,sell,2018-02-13 03:59:59.999,850.7,True,0.0,96.15880142573411
20,buy,2018-02-14 22:29:59.999,910.55,True,0.10560518524598772,0
21,sell,2018-02-15 22:29:59.999,923.27,False,0.0,97.50209938206308
22,buy,2018-02-16 14:59:59.999,924.5,False,0.10546468294436244,0
23,sell,2018-02-16 21:29:59.999,929.63,False,0.0,98.04313320556766
24,buy,2018-02-17 09:29:59.999,961.27,False,0.10199333507294273,0
25,sell,2018-02-17 17:29:59.999,962.01,False,0.0,98.11860827352163
26,buy,2018-02-17 17:59:59.999,963.22,False,0.10186521072394845,0
27,sell,2018-02-18 04:59:59.999,965.59,False,0.0,98.3600288229374
28,buy,2018-02-19 15:59:59.999,946.45,False,0.10392522460028251,0
29,sell,2018-02-20 00:59:59.999,933.77,True,0.0,97.0422569750058
30,buy,2018-02-21 10:59:59.999,882.76,True,0.10993050996307695,0
31,sell,2018-02-21 13:59:59.999,884.75,False,0.0,97.26101868983233
32,buy,2018-02-22 02:29:59.999,832.32,False,0.11685531849508882,0
33,sell,2018-02-22 12:29:59.999,818.55,True,0.0,95.65192095415495
