,buy/sell,time,price,stop loss,XRP_balance,USDT_balance
0,buy,2018-05-04 17:04:59.999,0.90262,False,110.78859320644347,0
1,sell,2018-05-04 18:22:59.999,0.893,True,0.0,98.93421373335401
2,buy,2018-05-04 22:23:59.999,0.8894,True,111.23702915825727,0
3,sell,2018-05-04 23:14:59.999,0.89305,False,0.0,99.34022888978166
4,buy,2018-05-05 04:17:59.999,0.8976,False,110.67316052783161,0
5,sell,2018-05-05 05:12:59.999,0.90072,False,0.0,99.68552915062848
6,buy,2018-05-05 07:42:59.999,0.9098,False,109.5686185432276,0
7,sell,2018-05-05 08:25:59.999,0.90021,True,0.0,98.63476609879892
8,buy,2018-05-05 13:17:59.999,0.90898,True,108.51148110937416,0
9,sell,2018-05-05 14:27:59.999,0.8984,True,0.0,97.48671462866174
10,buy,2018-05-05 17:08:59.999,0.91,True,107.12825783369422,0
11,sell,2018-05-05 17:31:59.999,0.9125,False,0.0,97.75453527324598
12,buy,2018-05-06 11:36:59.999,0.87616,False,111.57155687687862,0
13,sell,2018-05-06 11:42:59.999,0.86668,True,0.0,96.69683691405316
14,buy,2018-05-06 15:30:59.999,0.85101,True,113.62597021662866,0
15,sell,2018-05-06 16:11:59.999,0.85669,False,0.0,97.3422324248836
16,buy,2018-05-06 16:25:59.999,0.862,False,112.92602369476056,0
17,sell,2018-05-06 16:56:59.999,0.86333,False,0.0,97.49242403639764
18,buy,2018-05-06 17:20:59.999,0.86156,False,113.1580203774521,0
19,sell,2018-05-06 19:34:59.999,0.8675,False,0.0,98.16458267743971
20,buy,2018-05-07 04:34:59.999,0.83141,False,118.07000478396905,0
21,sell,2018-05-07 04:41:59.999,0.82129,True,0.0,96.96971422902594
22,buy,2018-05-07 06:06:59.999,0.82698,True,117.25762924015808,0
23,sell,2018-05-07 06:10:59.999,0.81784,True,0.0,95.89797949777089
24,buy,2018-05-07 10:56:59.999,0.81091,True,118.25970760968652,0
25,sell,2018-05-07 11:32:59.999,0.81502,False,0.0,96.3840268960467
26,buy,2018-05-07 12:28:59.999,0.81987,False,117.56013379687842,0
27,sell,2018-05-07 12:59:59.999,0.811,True,0.0,95.3412685092684
28,buy,2018-05-07 15:19:59.999,0.82393,True,115.71525312741178,0
29,sell,2018-05-07 16:27:59.999,0.8145,True,0.0,94.2500736722769
30,buy,2018-05-07 17:25:59.999,0.80661,True,116.84714257482165,0
31,sell,2018-05-07 17:53:59.999,0.81163,False,0.0,94.83664632800249
