,buy/sell,time,price,stop loss,BTC_balance,USDT_balance
0,buy,2018-02-02 21:59:59.999,8699.72,False,0.011494622815446935,0
1,sell,2018-02-03 04:59:59.999,8550.65,True,0.0,98.28649657690133
2,buy,2018-02-13 00:59:59.999,8890.02,True,0.011055824011295961,0
3,sell,2018-02-13 03:59:59.999,8727.16,True,0.0,96.48594507842166
4,buy,2018-02-13 21:59:59.999,8616.04,True,0.011198409603300548,0
5,sell,2018-02-15 11:59:59.999,9585.1,False,0.0,107.33787588859609
6,buy,2018-02-15 12:59:59.999,9613.86,False,0.011164909400448527,0
7,sell,2018-02-16 11:59:59.999,9844.99,False,0.0,109.91842139832174
8,buy,2018-02-17 16:59:59.999,10658.59,False,0.010312660623808752,0
9,sell,2018-02-18 07:59:59.999,10328.34,True,0.0,106.51266522730889
10,buy,2018-02-18 18:59:59.999,10570.0,True,0.010076884127465362,0
11,sell,2018-02-19 01:59:59.999,10383.43,True,0.0,104.63262095564767
12,buy,2018-02-23 19:59:59.999,10110.28,True,0.010349131869310016,0
13,sell,2018-02-23 22:59:59.999,9950.18,True,0.0,102.97572494337113
14,buy,2018-02-24 09:59:59.999,10119.16,True,0.010176311565719994,0
15,sell,2018-02-24 10:59:59.999,10009.02,True,0.0,101.85490598752274
16,buy,2018-02-26 02:59:59.999,9578.99,True,0.0106331571478332,0
17,sell,2018-02-26 08:59:59.999,9418.41,True,0.0,100.14743361272369
18,buy,2018-02-27 07:59:59.999,10323.15,True,0.009701247546797605,0
19,sell,2018-02-28 04:59:59.999,10687.0,False,0.0,103.67723253262601
20,buy,2018-03-03 01:59:59.999,11039.0,False,0.009391904387410636,0
21,sell,2018-03-04 15:59:59.999,11208.78,False,0.0,105.2717900595206
22,buy,2018-03-08 15:59:59.999,9870.0,False,0.010665834859120628,0
23,sell,2018-03-08 16:59:59.999,9718.19,True,0.0,103.6526096695575
24,buy,2018-03-11 12:59:59.999,8698.99,True,0.01191547635639971,0
25,sell,2018-03-12 05:59:59.999,9416.09,False,0.0,112.19719776473174
26,buy,2018-03-16 15:59:59.999,8444.0,False,0.013287209588433413,0
27,sell,2018-03-17 01:59:59.999,8260.0,True,0.0,109.75235120045998
28,buy,2018-03-19 15:59:59.999,8529.02,True,0.012868108082811388,0
29,sell,2018-03-19 18:59:59.999,8372.8,True,0.0,107.74209535576318
30,buy,2018-03-20 00:59:59.999,8505.01,True,0.012668073918286185,0
31,sell,2018-03-20 09:59:59.999,8385.12,True,0.0,106.22331997369987
32,buy,2018-03-20 16:59:59.999,8493.07,True,0.012507058104277944,0
33,sell,2018-03-21 09:59:59.999,8931.01,False,0.0,111.70066099988736
34,buy,2018-03-21 10:59:59.999,8965.0,False,0.012459638706066633,0
35,sell,2018-03-21 16:59:59.999,9050.0,False,0.0,112.75973028990302
36,buy,2018-03-22 09:59:59.999,8955.09,False,0.012591691461493186,0
37,sell,2018-03-22 11:59:59.999,8785.01,True,0.0,110.61813540613225
38,buy,2018-03-25 23:59:59.999,8593.93,True,0.012871658880876647,0
39,sell,2018-03-26 01:59:59.999,8448.95,True,0.0,108.75200230158276
40,buy,2018-03-29 03:59:59.999,7958.99,True,0.013664045601462341,0
41,sell,2018-03-29 07:59:59.999,7596.0,True,0.0,103.79209038870795
42,buy,2018-03-31 17:59:59.999,7065.94,True,0.014689070440551144,0
43,sell,2018-03-31 23:59:59.999,6906.0,True,0.0,101.4427204624462
44,buy,2018-04-02 01:59:59.999,6800.95,True,0.014915963279019284,0
45,sell,2018-04-04 04:59:59.999,7322.27,False,0.0,109.21871043906454
46,buy,2018-04-06 04:59:59.999,6800.0,False,0.016061575064568314,0
47,sell,2018-04-06 09:59:59.999,6593.93,True,0.0,105.90890166550895
48,buy,2018-04-06 22:59:59.999,6618.39,True,0.016002215291862364,0
49,sell,2018-04-07 01:59:59.999,6525.26,True,0.0,104.41861535537781
