,buy/sell,time,price,stop loss,ETH_balance,USDT_balance
74,buy,2018-04-27 07:59:59.999,655.78,True,0.16154632087991483,0
75,sell,2018-04-27 23:59:59.999,648.75,True,0.0,104.80317567084475
76,buy,2018-04-28 11:59:59.999,673.46,True,0.15561900583679023,0
77,sell,2018-04-29 02:59:59.999,682.86,False,0.0,106.26599432571058
78,buy,2018-04-29 23:59:59.999,680.33,False,0.15619771923288783,0
79,sell,2018-04-30 09:59:59.999,682.86,False,0.0,106.66117455536978
80,buy,2018-05-01 13:59:59.999,666.12,False,0.16012306274450516,0
81,sell,2018-05-01 15:59:59.999,653.07,True,0.0,104.571568586554
82,buy,2018-05-01 15:59:59.999,653.07,True,0.16012306274450516,0
83,sell,2018-05-02 17:59:59.999,677.98,False,0.0,108.56023407951962
84,buy,2018-05-04 17:59:59.999,796.5,False,0.13629659018144333,0
85,sell,2018-05-04 18:59:59.999,774.64,True,0.0,105.58079061815326
86,buy,2018-05-05 03:59:59.999,795.94,True,0.13264918287578617,0
87,sell,2018-05-05 20:59:59.999,812.98,False,0.0,107.84113269435665
88,buy,2018-05-10 15:59:59.999,762.78,False,0.14137907744612688,0
89,sell,2018-05-10 20:59:59.999,741.99,True,0.0,104.90186167425168
90,buy,2018-05-12 17:59:59.999,672.2,True,0.15605751513575078,0
91,sell,2018-05-12 18:59:59.999,659.6,True,0.0,102.93553698354121
92,buy,2018-05-13 05:59:59.999,676.56,True,0.15214546674876023,0
93,sell,2018-05-13 07:59:59.999,668.85,True,0.0,101.76249543490829
94,buy,2018-05-14 03:59:59.999,728.72,True,0.13964553660515464,0
95,sell,2018-05-14 05:59:59.999,720.25,True,0.0,100.57969773986262
96,buy,2018-05-14 16:59:59.999,725.91,True,0.13855670501833922,0
97,sell,2018-05-15 01:59:59.999,717.11,True,0.0,99.36039873570124
98,buy,2018-05-15 11:59:59.999,731.5,True,0.1358310303974043,0
99,sell,2018-05-15 17:59:59.999,711.0,True,0.0,96.57586261255446
100,buy,2018-05-17 08:59:59.999,710.85,True,0.1358596927798473,0
101,sell,2018-05-17 10:59:59.999,698.7,True,0.0,94.92516734527932
102,buy,2018-05-18 14:59:59.999,680.56,True,0.13948096765205026,0
103,sell,2018-05-18 17:59:59.999,672.88,True,0.0,93.85395351371157
104,buy,2018-05-18 21:59:59.999,686.5,True,0.1367136977621436,0
105,sell,2018-05-19 03:59:59.999,686.55,False,0.0,93.86078919859968
106,buy,2018-05-19 04:59:59.999,686.39,False,0.136745566221244,0
107,sell,2018-05-21 03:59:59.999,714.0,False,0.0,97.63633428196822
108,buy,2018-05-24 06:59:59.999,595.92,False,0.16384134494893313,0
109,sell,2018-05-24 11:59:59.999,573.38,True,0.0,93.94335036681927
110,buy,2018-05-26 08:59:59.999,588.59,True,0.15960745232983786,0
111,sell,2018-05-27 00:59:59.999,596.7,False,0.0,95.23776680521426
112,buy,2018-05-29 11:59:59.999,520.86,False,0.1828471504919062,0
113,sell,2018-05-30 09:59:59.999,559.77,False,0.0,102.35234943085433
114,buy,2018-05-31 05:59:59.999,559.84,False,0.182824288065973,0
115,sell,2018-06-01 14:59:59.999,570.63,False,0.0,104.32502349908617
116,buy,2018-06-02 09:59:59.999,586.46,False,0.17788941018839505,0
117,sell,2018-06-03 07:59:59.999,593.52,False,0.0,105.58092273501623
118,buy,2018-06-05 02:59:59.999,591.02,False,0.17864187799907996,0
119,sell,2018-06-05 04:59:59.999,595.5,False,0.0,106.38123834845211
120,buy,2018-06-05 17:59:59.999,585.9,False,0.18156893385979198,0
121,sell,2018-06-06 14:59:59.999,606.01,False,0.0,110.03258960837253
122,buy,2018-06-06 15:59:59.999,610.83,False,0.1801361910979692,0
123,sell,2018-06-06 19:59:59.999,596.11,True,0.0,107.38098487541042
