,buy/sell,time,price,stop loss,LTC_balance,USDT_balance
0,buy,2018-02-02 18:59:59.999,135.06,False,0.7404116688879017,0
1,sell,2018-02-02 19:29:59.999,128.05,True,0.0,94.80971420109582
2,buy,2018-02-03 01:59:59.999,131.68,True,0.7200008672622707,0
3,sell,2018-02-03 03:29:59.999,127.5,True,0.0,91.80011057593953
4,buy,2018-02-03 03:59:59.999,128.8,True,0.7127337777635055,0
5,sell,2018-02-03 05:29:59.999,123.45,True,0.0,87.98698486490476
6,buy,2018-02-04 00:29:59.999,156.0,True,0.5640191337493895,0
7,sell,2018-02-04 03:59:59.999,157.22,False,0.0,88.67508820807902
8,buy,2018-02-05 08:29:59.999,150.28,False,0.5900657985632088,0
9,sell,2018-02-05 08:59:59.999,146.31,True,0.0,86.33252698778308
10,buy,2018-02-06 02:59:59.999,126.98,True,0.6798907464780523,0
11,sell,2018-02-06 03:29:59.999,121.63,True,0.0,82.6951114941255
12,buy,2018-02-06 12:59:59.999,115.21,True,0.7177772024487935,0
13,sell,2018-02-06 13:29:59.999,112.71,True,0.0,80.90066848800352
14,buy,2018-02-06 13:59:59.999,115.58,True,0.6999538716733303,0
15,sell,2018-02-07 05:59:59.999,131.57,False,0.0,92.09293089606007
16,buy,2018-02-09 23:58:16.811,157.65,False,0.5841606780593724,0
17,sell,2018-02-10 00:28:16.811,156.01,True,0.0,91.13490738404269
18,buy,2018-02-10 04:28:16.811,165.85,True,0.549502004124466,0
19,sell,2018-02-10 10:28:16.811,162.41,True,0.0,89.24462048985453
20,buy,2018-02-10 16:58:16.811,161.0,True,0.5543144129804629,0
21,sell,2018-02-10 17:28:16.811,154.67,True,0.0,85.7358102556882
22,buy,2018-02-11 04:28:16.811,150.61,True,0.5692570895404567,0
23,sell,2018-02-11 05:28:16.811,144.89,True,0.0,82.47965970351677
24,buy,2018-02-11 13:59:59.999,147.6,True,0.5588052825441516,0
25,sell,2018-02-11 19:29:59.999,150.2,False,0.0,83.93255343813156
26,buy,2018-02-12 06:59:59.999,153.93,False,0.5452644282344673,0
27,sell,2018-02-12 07:59:59.999,151.69,True,0.0,82.71116111888634
28,buy,2018-02-13 18:59:59.999,156.32,True,0.5291143879150866,0
29,sell,2018-02-15 13:29:59.999,219.69,False,0.0,116.24113988106537
