,buy/sell,time,price,stop loss,BTC_balance,USDT_balance
71,sell,2018-02-23 21:14:59.999,10140.0,False,0.0,105.79784027007265
72,buy,2018-02-24 05:14:59.999,10370.76,False,0.010201551310614907,0
73,sell,2018-02-24 07:29:59.999,10400.03,False,0.0,106.09643967693435
74,buy,2018-02-24 07:44:59.999,10425.0,False,0.010177116515773079,0
75,sell,2018-02-24 08:44:59.999,10102.0,True,0.0,102.80923104233965
76,buy,2018-02-25 13:14:59.999,9729.0,True,0.01056729684883746,0
77,sell,2018-02-25 14:14:59.999,9603.0,True,0.0,101.47775163938614
78,buy,2018-02-26 21:59:59.999,10238.62,True,0.009911272382350955,0
79,sell,2018-02-27 08:59:59.999,10306.0,False,0.0,102.14557317250895
80,buy,2018-02-27 15:29:59.999,10770.0,False,0.009484268632544935,0
81,sell,2018-02-27 17:14:59.999,10592.6,True,0.0,100.46306391709548
82,buy,2018-02-28 00:59:59.999,10737.03,True,0.009356690250199121,0
83,sell,2018-02-28 01:59:59.999,10569.04,True,0.0,98.89123352196452
84,buy,2018-02-28 17:14:59.999,10569.49,True,0.009356291885603234,0
85,sell,2018-02-28 18:44:59.999,10427.54,True,0.0,97.56310788880316
86,buy,2018-02-28 21:14:59.999,10530.15,True,0.00926512042931992,0
87,sell,2018-03-01 01:14:59.999,10353.02,True,0.0,95.92197710715772
88,buy,2018-03-01 03:59:59.999,10418.0,True,0.009207331263885364,0
89,sell,2018-03-01 05:44:59.999,10299.0,True,0.0,94.82630468675536
90,buy,2018-03-01 19:44:59.999,10765.83,True,0.00880808118712216,0
91,sell,2018-03-01 23:59:59.999,10918.0,False,0.0,96.16663040099975
92,buy,2018-03-02 09:44:59.999,11078.0,False,0.00868086571592343,0
93,sell,2018-03-02 09:59:59.999,11080.42,False,0.0,96.18763809603229
94,buy,2018-03-02 10:14:59.999,11114.55,False,0.00865420895097258,0
95,sell,2018-03-02 11:29:59.999,10939.15,True,0.0,94.6696898460317
96,buy,2018-03-02 15:44:59.999,10950.98,True,0.008644860080653212,0
97,sell,2018-03-02 16:29:59.999,10790.0,True,0.0,93.27804027024816
98,buy,2018-03-02 19:59:59.999,10912.26,True,0.008548003829660231,0
99,sell,2018-03-03 07:59:59.999,11324.76,False,0.0,96.80409184998301
100,buy,2018-03-04 02:59:59.999,11370.01,False,0.008513984759026861,0
101,sell,2018-03-04 05:29:59.999,11229.0,True,0.0,95.60353485911263
102,buy,2018-03-05 15:14:59.999,11520.0,True,0.008298917956520194,0
103,sell,2018-03-05 23:14:59.999,11564.92,False,0.0,95.97632225371952
104,buy,2018-03-06 06:44:59.999,11306.0,False,0.008488972426474395,0
105,sell,2018-03-06 12:14:59.999,11112.0,True,0.0,94.32946160298347
106,buy,2018-03-07 00:29:59.999,10755.0,True,0.008770754216920825,0
107,sell,2018-03-07 01:29:59.999,10620.61,True,0.0,93.15075994377149
108,buy,2018-03-07 17:14:59.999,10647.95,True,0.008748234161859464,0
109,sell,2018-03-07 18:29:59.999,10419.41,True,0.0,91.15143850842011
110,buy,2018-03-08 01:29:59.999,9847.39,True,0.009256405860681879,0
111,sell,2018-03-08 04:14:59.999,9664.0,True,0.0,89.45390623762968
112,buy,2018-03-08 07:44:59.999,9812.22,True,0.009116581796742193,0
113,sell,2018-03-08 13:59:59.999,9910.09,False,0.0,90.34614609807684
114,buy,2018-03-08 22:14:59.999,9337.13,False,0.009676008162901968,0
115,sell,2018-03-09 00:59:59.999,9233.24,True,0.0,89.34090561003296
116,buy,2018-03-09 03:14:59.999,9341.0,True,0.00956438342897259,0
117,sell,2018-03-09 03:44:59.999,9049.0,True,0.0,86.54810564877296
118,buy,2018-03-09 13:29:59.999,8702.95,True,0.009944686071823113,0
119,sell,2018-03-09 19:59:59.999,8749.99,False,0.0,87.01590368159152
120,buy,2018-03-09 20:59:59.999,8894.62,False,0.009782981586800956,0
121,sell,2018-03-09 21:14:59.999,8744.12,True,0.0,85.54356495277798
122,buy,2018-03-10 07:29:59.999,9271.09,True,0.009226915600299208,0
123,sell,2018-03-10 09:59:59.999,9327.43,False,0.0,86.06340937769885
124,buy,2018-03-10 17:44:59.999,9390.18,False,0.009165256616773997,0
125,sell,2018-03-10 19:29:59.999,9257.28,True,0.0,84.8453467733296
126,buy,2018-03-11 04:59:59.999,8708.44,True,0.0097428869893264,0
127,sell,2018-03-11 05:29:59.999,8580.0,True,0.0,83.59397036842051
128,buy,2018-03-13 00:44:59.999,9119.93,True,0.009166075876505687,0
129,sell,2018-03-13 03:44:59.999,9140.68,False,0.0,83.78416644285801
130,buy,2018-03-13 11:59:59.999,9273.99,False,0.009034317100067826,0
131,sell,2018-03-13 12:14:59.999,9147.95,True,0.0,82.64548111556547
132,buy,2018-03-13 20:29:59.999,9120.76,True,0.009061249404168673,0
133,sell,2018-03-13 21:44:59.999,9019.93,True,0.0,81.73183533814314
134,buy,2018-03-14 17:44:59.999,8699.99,True,0.009394474630217177,0
135,sell,2018-03-14 18:44:59.999,8469.99,True,0.0,79.57110617319319
